"MonthName","Month","Year","Day","Date","Weekday","DayOfWeek","DayLabel","WeekOfMonth"
"July",7,2019,27,2019-07-27,"Saturday",7,"Sa",4
"July",7,2019,28,2019-07-28,"Sunday",1,"Su",5
"July",7,2019,29,2019-07-29,"Monday",2,"Mo",5
"July",7,2019,30,2019-07-30,"Tuesday",3,"Tu",5
"July",7,2019,31,2019-07-31,"Wednesday",4,"We",5
"August",8,2019,1,2019-08-01,"Thursday",5,"Th",1
"August",8,2019,2,2019-08-02,"Friday",6,"Fr",1
"August",8,2019,3,2019-08-03,"Saturday",7,"Sa",1
"August",8,2019,4,2019-08-04,"Sunday",1,"Su",2
"August",8,2019,5,2019-08-05,"Monday",2,"Mo",2
"August",8,2019,6,2019-08-06,"Tuesday",3,"Tu",2
"August",8,2019,7,2019-08-07,"Wednesday",4,"We",2
"August",8,2019,8,2019-08-08,"Thursday",5,"Th",2
"August",8,2019,9,2019-08-09,"Friday",6,"Fr",2
"August",8,2019,10,2019-08-10,"Saturday",7,"Sa",2
"August",8,2019,11,2019-08-11,"Sunday",1,"Su",3
"August",8,2019,12,2019-08-12,"Monday",2,"Mo",3
"August",8,2019,13,2019-08-13,"Tuesday",3,"Tu",3
"August",8,2019,14,2019-08-14,"Wednesday",4,"We",3
"August",8,2019,15,2019-08-15,"Thursday",5,"Th",3
"August",8,2019,16,2019-08-16,"Friday",6,"Fr",3
"August",8,2019,17,2019-08-17,"Saturday",7,"Sa",3
"August",8,2019,18,2019-08-18,"Sunday",1,"Su",4
"August",8,2019,19,2019-08-19,"Monday",2,"Mo",4
"August",8,2019,20,2019-08-20,"Tuesday",3,"Tu",4
"August",8,2019,21,2019-08-21,"Wednesday",4,"We",4
"August",8,2019,22,2019-08-22,"Thursday",5,"Th",4
"August",8,2019,23,2019-08-23,"Friday",6,"Fr",4
"August",8,2019,24,2019-08-24,"Saturday",7,"Sa",4
"August",8,2019,25,2019-08-25,"Sunday",1,"Su",5
"August",8,2019,26,2019-08-26,"Monday",2,"Mo",5
"August",8,2019,27,2019-08-27,"Tuesday",3,"Tu",5
"August",8,2019,28,2019-08-28,"Wednesday",4,"We",5
"August",8,2019,29,2019-08-29,"Thursday",5,"Th",5
"August",8,2019,30,2019-08-30,"Friday",6,"Fr",5
"August",8,2019,31,2019-08-31,"Saturday",7,"Sa",5
"September",9,2019,1,2019-09-01,"Sunday",1,"Su",1
"September",9,2019,2,2019-09-02,"Monday",2,"Mo",1
"September",9,2019,3,2019-09-03,"Tuesday",3,"Tu",1
"September",9,2019,4,2019-09-04,"Wednesday",4,"We",1
"September",9,2019,5,2019-09-05,"Thursday",5,"Th",1
"September",9,2019,6,2019-09-06,"Friday",6,"Fr",1
"September",9,2019,7,2019-09-07,"Saturday",7,"Sa",1
"September",9,2019,8,2019-09-08,"Sunday",1,"Su",2
"September",9,2019,9,2019-09-09,"Monday",2,"Mo",2
"September",9,2019,10,2019-09-10,"Tuesday",3,"Tu",2
"September",9,2019,11,2019-09-11,"Wednesday",4,"We",2
"September",9,2019,12,2019-09-12,"Thursday",5,"Th",2
"September",9,2019,13,2019-09-13,"Friday",6,"Fr",2
"September",9,2019,14,2019-09-14,"Saturday",7,"Sa",2
"September",9,2019,15,2019-09-15,"Sunday",1,"Su",3
"September",9,2019,16,2019-09-16,"Monday",2,"Mo",3
"September",9,2019,17,2019-09-17,"Tuesday",3,"Tu",3
"September",9,2019,18,2019-09-18,"Wednesday",4,"We",3
"September",9,2019,19,2019-09-19,"Thursday",5,"Th",3
"September",9,2019,20,2019-09-20,"Friday",6,"Fr",3
